N,Avg Exec Time
4860000,940697.8
4870000,940047.2
4880000,947434.3
4890000,941066.4
4900000,951345.6
4910000,945857.6
4920000,946001.0
4930000,956862.5
4940000,957797.6
4950000,959769.3
4960000,962301.2
4970000,945478.3
4980000,964784.3
4990000,980340.2
5000000,957143.1
5010000,969638.2
5020000,979816.6
5030000,960526.1
5040000,981438.6
5050000,981443.6
5060000,978936.9
5070000,977678.0
5080000,993783.2
5090000,989974.7
5100000,975998.9
5110000,986077.9
5120000,992449.7
5130000,997414.8
5140000,1001340.3
5150000,989286.7
5160000,1001065.5
5170000,993198.2
5180000,1007332.6
5190000,999760.7
5200000,1001024.4
5210000,1007118.2
5220000,1008091.7
5230000,1016099.3
5240000,1009071.3
5250000,1009236.4
5260000,1012613.2
5270000,1016863.8
5280000,1016415.1
5290000,1019024.1
5300000,1019667.4
5310000,1022265.3
5320000,1023792.3
5330000,1021863.5
5340000,1028182.7
5350000,1023812.7
5360000,1028262.9
5370000,1035010.1
5380000,1035451.0
5390000,1025905.8
5400000,1028261.6
5410000,1041318.2
5420000,1035377.9
5430000,1028754.2
5440000,1046981.9
5450000,1030698.5
5460000,1032369.9
5470000,1060355.2
5480000,1029145.5
5490000,1034405.2
5500000,1037848.3
5510000,1033730.7
5520000,1042219.4
5530000,1037907.4
5540000,1039537.0
5550000,1045446.5
5560000,1045775.8
5570000,1048802.3
5580000,1050212.8
5590000,1053691.9
5600000,1054271.7
5610000,1053931.3
5620000,1056534.0
5630000,1058747.0
5640000,1062619.2
5650000,1063445.5
5660000,1067333.5
5670000,1076746.1
5680000,1073755.0
5690000,1071496.2
5700000,1076498.4
5710000,1077096.2
5720000,1085554.4
5730000,1081199.2
5740000,1081780.1
5750000,1090215.6
5760000,1083528.9
5770000,1092148.9
5780000,1090603.3
5790000,1090781.1
5800000,1089958.7
5810000,1096381.9
5820000,1106815.3
5830000,1101487.8
5840000,1103182.2
5850000,1102900.9
5860000,1106167.1
5870000,1105842.6
5880000,1108188.2
5890000,1112336.0
5900000,1120240.6
5910000,1121212.8
5920000,1121359.9
5930000,1117893.2
5940000,1121053.4
5950000,1125128.1
5960000,1121707.0
5970000,1136403.7
5980000,1131209.4
5990000,1130552.8
6000000,1134641.6
6010000,1133463.8
6020000,1138315.3
6030000,1135253.1
6040000,1140763.6
6050000,1158138.9
6060000,1143353.6
6070000,1147624.6
6080000,1169863.2
6090000,1149818.6
6100000,1156536.2
6110000,1153204.0
6120000,1156207.9
6130000,1171722.1
6140000,1166596.3
6150000,1176655.9
6160000,1164607.3
6170000,1165509.6
6180000,1185415.9
6190000,1169725.3
6200000,1185172.7
6210000,1177240.3
6220000,1174659.1
6230000,1194017.3
6240000,1179542.4
6250000,1193173.2
6260000,1188570.8
6270000,1190097.7
6280000,1205809.9
6290000,1188761.0
6300000,1202287.1
6310000,1200521.5
6320000,1193052.5
6330000,1211834.6
6340000,1200223.1
6350000,1209524.6
6360000,1220062.2
6370000,1213654.6
6380000,1212393.7
6390000,1229238.0
6400000,1228345.7
6410000,1223680.6
6420000,1226451.4
6430000,1225254.3
6440000,1250951.6
6450000,1235071.8
6460000,1232980.1
6470000,1234921.4
6480000,1230066.4
6490000,1244134.3
6500000,1230449.9
6510000,1231238.0
6520000,1241147.3
6530000,1256873.0
6540000,1254473.3
6550000,1249427.6
6560000,1242509.2
6570000,1262731.6
6580000,1249066.3
6590000,1267201.8
6600000,1253541.7
6610000,1259211.0
6620000,1301012.5
6630000,1268892.5
6640000,1265868.6
6650000,1293696.8
6660000,1270518.5
6670000,1279060.2
6680000,1290971.6
6690000,1286336.5
6700000,1271139.0
